study,dimension,judge_id,definition
study1,insight,2046,"The statement to proof must be clearly stated and the proof should have a clear logical progression.

Initially, results used in the later part of the proof should be derived. This does not refer to whole theorems but rather stressing the important properties of the environment the proof/ theorem takes place in. "
study1,insight,248,I would decide if a proof gives me insight depending on whether the steps of the proof were clear and if so if they have proven all cases. I.e. iff would have to prove both sides in order for it to make sense. I would also base it depending on the additional explanations and notes to the written mathematical formulae.
study1,insight,605,"The proof has to be correct, use language of an appropriate level, but also not be unnecessarily convoluted. A mixture of mathematical expressions and plain text would be appreciated (a proof written only using symbols is hard to read)."
study1,insight,22,Whether I can understand each step or not. It has to follow logically onwards from the previous step. Ideally it would be applicable and useful in other fields.
study1,insight,544,A proof should be clearly structured and easy to follow. It should be concise and hold enough detail as appropriate for the level of education of the reader.
study1,insight,2753,"The proof would use proper language and include a reference to any notation not commonly used. The proof may contain a clear structure, e.g. a claim at the beginning or a conclusion at the end. The theorem or definition used in the proof should be stated, and reference if it is necessary."
study1,insight,1634,"If I can read it and understand where I have started and what I have ended up with, and if they are clearly formatted to prove what was initially set out in the first sentence. Explaining every step as if I were a three year old being taught this, by very logically writing down everything and not allowing the reader to assume anything. "
study1,insight,539,A proof gives me insight primarily if it is easy to understand and all of the steps taken are explained clearly. Notation should also be consistent and defined properly. 
study1,insight,64,"* Defines all the variables used at the beginning. 
	* Has a nice structure, easy to follow, and a concluding statement.
	* References formulas, theorems, papers to make it more credible."
study1,insight,562,I will ask myself. Which one is correct? Which one is more clear? Which one is easier to understand?
study1,insight,909,"Clarity and use of language is crucial to an effective proof, to emphasize the key steps and avoid the proof reducing to an extended series of ""...thus, ..., therefore, ..., thus..."" statements which leave the reader pondering where the magic happened. Additionally, an insightful proof should state clearly the methodology and tools used to tackle the problem, e.g. if proof by contradiction or induction is used."
study1,insight,512,"First of all, a good proof should include a generalized idea as simple as you can, one sentence will be the best. Secondly, it should include a connection with other results pr theorems and how we can distinguish between one another. Last but not least, one can include the application of the proof: how we can use the theorem to prove another lemma or solve a related mathematical problem."
study1,insight,2400,A proof gives you insight if it is clear and can convince you that what they are trying to prove is true.
study1,insight,560,"If the proof has a clear claim and conclusion and each step is easy to follow, the proof becomes more convincing. If there are steps missing or assumptions not explained, the logical leaps to get from the claim to the conclusion reduce how ""valid"" I would consider the proof."
study1,insight,572,"The proof should be precise and each step in the proof should make sense without having to read over it many times to understand how one step follows from another. If any notation is introduced that is not standard for that level, then it should be explained well. Normally a more direct argument to prove the statement is more helpful than very abstract or situational proofs."
study1,insight,831,"A proof gives insight if it has a clear 'narrative'. This means

A) The method of proof could be described in an informal manner to another mathematician, who could then recreate it by filling in the formal details.

B) The purpose of each step of the proof (i.e. the problem it is solving) is clear, and it is clear how each step relates to the steps before and after it.

This ensures that the proof gives some insight to the reader that is not present in the theorem itself. This insight could then be used to solve similar problems."
study1,insight,829,"It must be elegant, have a logical flow that is easy to follow, without any gaps, and any ""clearly this is true"" statements when it's not clear. "
study1,insight,1220,"A proof should be easy to follow, and explained clearly step-by-step. 

A proof gives me insight when it allows me to understand why a certain proving method is used. "
study1,insight,1270,"I think that a proof gives insight if:

(1) Its line of argument is well explained and well written.

(2) The less obvious axioms or theorems used in the proof are referenced or proved within the proof. If a more obscure result is used without any explanation this can be confusing."
study1,insight,55,If a proof is easy to follow and each step is well explained with a reason why each step is justified (i.e. with theorems).
study1,insight,525,If the transition between each step can be clearly seen. If a person is using a theorem in their proof citing or describing what it is and not taking it as assumed knowledge. Providing a geometric interpretation alongside the rigorous proof to show a clear and full understanding where possible.
study1,insight,3126,If I can follow each step with clear understanding. A mixture of words and mathematical symbols helps; I find it difficult to understand a proof if there is no written explanation of what is happening.
study1,insight,46,Proofs can provide new ways to think about problems and how to solve them. They can also show why proving a certain theorem or claim might be helpful and they can help develop mathematical thinking. 
study1,insight,7851,"I would decide if a proof gives me insight by how clearly the steps to get from the givens to the result are explained. I think it is important that there isn't room for ambiguity in the proof so that I, as the reader, only need to worry about my own ability to understand the mathematics, rather than trying to deduce the logic employed by the author."
study1,insight,2920,"I would decide if while reading it (not necessarily the first time) I get that ""Aha!"" moment when I realise the deeper connection underlying the theorem or result. If there are any particularly unintuitive steps which can be justified or explained (not just: ""by the power of hindsight/trial and error, we do X"") this would also count as it helps me develop the skills to then go away and write proofs by myself -- in that field or even in a completely different one."
study1,insight,3705,Clear and concise steps that lead to the conclusion and proving all possible scenarios that apply to the proof. Proof states all of the results from other Theorems etc. that are used.
study1,insight,1071,A proof gives me insight if it is clearly displayed and easy to follow. I find it much easier to follow a proof if there isn't too much unnecessary notation introduced. The structure to a proof is very important as this means everything is explained in the correct order making it as clear as possible.
study2,rigour,7438,"For a proof to be rigorous, it needs to be detailed enough so that the person reading the proof is easily able to follow it. This includes presenting definitions and assumptions in a clear manner and including transition phrases that clearly specify the step you are taking."
study2,rigour,5584,"The proof should be completely general (expressed in terms of parameters such as n, k etc. and thus apply to all possible instances, e.g. all real numbers or all integers. The proof should of course be mathematically correct and should go into sufficient detail for its purpose/anticipated reader(s). Chiefly, the proof should prove no more or less than precisely what it sets out to prove."
study2,rigour,5595,"A proof is rigorous if and only if, starting with a set of premises which we deem to be axiomatically true (or non-axiomatic well-established derivations thereof built on papers upon papers utilising similar rigurous methods), we can derive a true conclusion by clearly applying said premises, one or more at a time, in a manner that goes beyond all reasonable doubt (in the way that us humans perceive the world)."
study2,rigour,5308,A proof which can be called rigorous proof must explain explicitly at everywhere. It should justify which theorems or collaries it have used.
study2,rigour,5267,The proof must follow the structure which includes a starting sentence and a concluding sentence. The proof must contain details that are relevant and is fluent and clear. 
study2,rigour,6034,If all cases are covered by the proof it is rigorous!
study2,rigour,5978,"Each step of the proof is clear and valid, showing how the conclusion was coherently found."
study2,rigour,5528,If a proof is rigorous then it clearly demonstrates the truth of the statement through clear steps. Making sure each claim is justified. 
study2,rigour,6195,"1. Base case, let's prove that P(1)

left: sum(2*k-1,k,1,1)=2*1-1=1

right: n^2=1^2=1

so, it's true for P(1)

2. Induction step: Assume that P(n) is true and consider,

sum(2*k-1,k,1,n+1)=sum(2*k-1,k,1,n)+(2*(n+1)-1)

                              =n^2+(2*n+1)

                              =(n+1)^2

where we used the statement P(n) to replace sum(2*k-1,k,1,n) with (n+1)^2

Hence sum(2*k-1,k,1,n+1)=(n+1)^2 which proves that P(n)=>P(n+1) is true

Since P(1),P(n)=>P(n+1) it follows that P(n) is true for all n belongs to N by the principle of mathematical induction."
study2,rigour,5199,"For a proof to be rigorous it should clearly state what question they are trying to answer and then state their claim for the question. They should then begin from the start and then using clearly explained logical steps, they should eventually arrive at a conclusion. For it to be rigorous,  there should be no edge cases left unexplained and there should be no ambiguity surrounding the validity of any of the logical steps "
study2,rigour,6017,"Have a clear claim and essential sentence to lead reader through the proof.

Have correct logical step to show the result.

Have a clear conclusion."
study2,rigour,5212,"For a proof to be rigorous It must be detailed enough such that nothing can be misconstrued while reading through it, but also not overly complex as to confuse the reader with terms and notation that would be unfamiliar to them. There is a fine balance between these two, however the priority should be understandability from the reader. If a proof is overly complex, then there is no point in reading through the proof, as the reader would not be able to understand it. However, if a proof were to be simplified, the reader could use the proof as a springboard to begin to understand the true proof, working off of what they had learned with the simplified, and slowly applying more complex topics and concepts."
study2,rigour,6016,It is very difficult to write out a good and standard proof .
study2,rigour,6821,"A rigorous proof is one which is self-contained (meaning all the information you need is in the proof), considers all possibilities (such as the occasional division by zero or something of the sort) and written in such a way that it is easy to read and understand"
study2,rigour,6046,"To explain each step in enough detail for the reader to understand. This depends on the context of the proof. A proof of the same thing for an A level student is going to have more detail than a proof of the same thing to a first year student, simply because the first year student probably knows more maths"
study2,rigour,5549,"For a proof to be rigorous, it should be clear and hold up when inspected closely."
study2,rigour,5279,"Covers all bases and any exceptions are considered, leaving no room for doubt that the stated is always correct."
study2,rigour,5919,no
study2,rigour,6051,"Must either use valid logic to infer an already proven theorem can be used to prove it, or use the absolute fundamental axioms and well reasoned logic to infer that something is true."
study2,rigour,5738,A rigorous proof should be logically valid. And it should include all the possible cases.
study2,rigour,5731,"In my opinion, a rigorous proof is a proof that can explain clearly the series of axioms, statements and hypothesis, and their connections that led to the theorem or statement that we want to prove. The proof needs to detailed but simple enough so that the reader can clearly see the connections between the axioms, statements and hypothesis. The connections also need to be strong and free from any contradictions that may arise."
study2,rigour,5333,If every small piece of reasoning in a proof is logically sound and they combine logically to produce the desired conclusion.
study2,rigour,5506,proof is considered to be rigorous if it provides a lot of details. it should be very clear so that everyone can understand.
study2,rigour,2985,To include a full mathematical proof and not just words.
study2,rigour,5829,"the steps are complete

the logic is correct"
study2,rigour,5810,"A proof need to contain the assumptions, the convincible process to get the required conclusion."
study2,rigour,5237,"A proof is rigorous when the steps are in a logical order, each step building on the previous one. A rigorous proof should also contain lots of definitions of the variables you are using and should be clear to read."
study2,rigour,6031,"Clearly explained. It is easy to follow what has been assumed, defined etc. Covers all cases if there are more than 1 case."
study2,rigour,5990,A proof is rigorous if I can show every step and the conclusion follows without any gaps from the premises.
study2,rigour,5926,To prove something completely using axioms or other theorems that can be proven using axioms. 
study2,rigour,6295,I am not sure
study2,rigour,5316,"A proof is rigorous when the objective is clearly stated, the theorems and lemmeas used are mentioned specifically, and every inference follows logically from the next. "
study2,rigour,5807,"The proof must not be easily subject to questioning of bold assumptions, that ought to have been proved.

The proof must be explicit in its logic, showing clear implications rather than vague connections.

Must proof the statement exactly."
study2,rigour,7757,"Each step follows logically from the previous step such that at no point can rational doubt of the logical inferences be asserted. A rigorous proof takes a starting statement, and with the least possible assumptions, reaches a conclusion that must be considered true."
study2,rigour,6143,"The proof should cover all cases that are possible. It should be clearly written and unambiguous so that the proof can be followed by the reader. There should be no gaps that should be included for a proof of that level, but every detail need not be proved as long as they are known to be true. An if and only if proof should be proved by assuming the first statement and concluding the second statement and then assuming the second statement to conclude the first, or by using another method that maintains the equivalency. "
study2,rigour,6048,"For a proof to be rigorous, it should eliminate all possibility of vagueness or ambiguity. It should cover all possible cases, so that the theorem does not simply apply to a specific value or expression. All variables used should be noted and expressed (i.e. do they belong to the reals, rationals etc)."
study2,rigour,5909,There are no gaps or flaws in the logic and we can assert with certainty that the proof is correct
study2,rigour,6032,Not leave any parts out of skip over things. Explaining everything thoroughly and exhausting any possible ideas
study2,rigour,6032,having all the necessary steps and exhausting all possible cases
study2,rigour,5504,It means there are no contradictions in the logic and will be proved by known formulas and theorems. The proof process need to be clear and methodical to make it easy for others to understand.
study2,rigour,5639,A proof where every step is clearly explained and where all assumptions that are required to reach the final result are stated. 
study2,rigour,7024,Determining the authenticity of a person or thing from reliable material.
study2,rigour,5426,A rigorous proof is a proof which is proven thoroughly and carefully
study2,rigour,5859,It means that you demonstrate that the asserted outcome arises from the premise through an unbroken chain of steps each of which is logically clear. This means considering the potential logical gaps in each step and being able to demonstrate this in a convincing way.
study2,rigour,6582,For it to be generalised and have all assumptions justified.
study2,rigour,5757,A rigorous proof is a proof that can be seen to be valid by means of a valid proof-checking algorithm. 
study2,rigour,5172,"A proof is a set of small steps leading to a conclusion. In order for a proof to be considered rigorous, the steps should be axioms, or theorems derived from axioms."
study2,insight,6364,a good proof must be concise and descriptive. it must include a clarative statement followed by a detailed proof. if definitions are used then they must be named.
study2,insight,6424,"When we have a theorem and we want to prove it, we need to use our known knowledge, building relationships by using our logic so that we can explain to everyone with the proof processes to make them understand why the theorem is true."
study2,insight,6787,"A good proof should give a well structured and logically flowing argument. It should be clear and concise, and should guide the reader through the logic in a simple way without unnecessary jumping around or side-tracking. It also ought to get the correct balance between brevity and having an easily understandable argument without needless jargon or lack of helpful commentary."
study2,insight,5627,"examples of exhaustive deductive reasoning which establish logical certainty, to be distinguished from empirical arguments or non-exhaustive inductive reasoning which establish reasonable expectation."
study2,insight,5966,"the summation is the sum of odd numbers which is 2k-1, according to the formula, we can get that the sum is n^2"
study2,insight,6328,A rigorous proof describes and breaks down the makings of the theorem at the most fundamental level thus providing insight into why said theorem is true.
study2,insight,5839,"a proof give insight into why a theorem is true by a sequence of logical arguments which can establish the truth through the inference rules of a deductive system. I think it helps understanding of the theorem and where it comes from. In general, it helps the understanding of mathematics better. "
study2,insight,6939,"The proof uses logical and deductive reasoning to unequivocally validify a theorem. Using universally accepted axioms and quantifiers as a base for all proofs, all theorem's are verified through these and previously proven theorems, lemmas and corollaries. Through this you can follow each step of reasoning, which have complete justification to gain an insight into why a theorem is true."
study2,insight,6855,Using concepts that are already proved to show a new theorem is also true.
study2,insight,6348,"Proof shows how the theorem has developed. Therefore, the people can understand the essential parts of the theorem. "
study2,insight,5946,"The reasoning laid out in many proofs determines the proof of the theorem from a series of premises (often, the assumed knowledge of the reader). As each step in a proof should follow logically from the previous (or an already accepted theorem), then following these steps should lead to seeing how the theorem follows from that which is already known, and hence provides insight into why, given what we already know, we should accept the theorem as true. Arguably, a good proof does this in a way that is easy for the human mind to follow and thus build some degree of intuitiveness of the nature of the theorem, and why it is true. It can also connect mathematical concepts and ideas, thus giving insight into the structure of the subject being considered and mathematics in general. However, not all proofs do provide such insight; some proofs, such as proof by exhaustion of cases and zero knowledge proofs, provide little or no insight into why a theorem is true, despite assuring us that it is so. "
study2,insight,5497,"Well explained, easy to follow step by step and easy to understand."
study2,insight,6906,"Suppose it is valid for all the cases. No counterexamples exist.

If its contraposition is proven false.

If we get to the conclusion that we want for the used case."
study2,insight,5759,its proves it for all cases so we can take it for true whereas not just for a few cases
study2,insight,5413,"A proof should be able to show,  in a manner that is simple to follow, each logical step we can take towards a mathematical conclusion. In essence this implies that if a proof is written that does not make sense, then the reader isn't going to understand where a theorem comes from and might therefore not understand the theorem. "
study2,insight,5473,To link a complex idea and a simple truth and show that they are equivalent
study2,insight,6691,"A proof of the theorem is a logical statement from existing axioms, theorem, or lemma."
study2,insight,5712,"Sorry, I don't know"
study2,insight,5751,It provides a clear layout of why the theorum holds for all values included in the theorem.
study2,insight,5603,It provides an intuitive explanation into the reasoning behind a concept
study2,insight,6696,The proof needs to show all of the possible ways in which the theorem being proved is true. The proof should build of previous theorems which are already known to be true. The proof explains all the different parts that make up the theorem and show they are true. 
study2,insight,5736,"It shows the basic logic of a theorem. That is, why it can imply the conclusion"
study2,insight,6229,"The proof needs to give reasoned steps, and a clear line of thought and working to follow to reach the conclusion that the theorem is true."
study2,simple,6029,it takes fewer words and more mathematics to prove.
study2,simple,6107,"I expect a simple proof to be short, concise and easily understandable, requiring only basic mathematics. Generally, a simple proof is easy to come up with."
study2,simple,5345,Clear and concise. Being able to understand it without getting too confused.
study2,simple,5256,"For a proof to be simple, it should be concise but explanatory. It should need to be only read once to be understood. Each step in the proof should be easy to follow, that is easy to understand what step is being taken when that step is read, but not necessarily why it is being taken."
study2,simple,5589,"For a proof to be simple (assuming ""simple"" is meant to have positive connotations in this context), it should be well set out, straightforward, and easy for the reader to follow, avoiding straying into unnecessary tangents and generally being clear in proof.

""simple"" in a negative context would be a proof that misses steps/leaves out key details and leaves the reader wondering how they have gotten from one point to another."
study2,simple,5944,"In my view, for a proof to be simple, it means that it is easy to follow for a learning mathematician/ someone who is moderately well read in mathematics. 

For it to be simple would suggest that it is only marginally more difficult than a trivial case, so would require little explanation - as long as that explanation is clear. "
study2,simple,6359,A simple proof is short and does not prove something very complicated. It uses straightforward maths to prove the point and it is generally easy to follow
study2,simple,3259,"Explained coherently and concisely with little ""waffle"" - only includes essential information.

Explained thoroughly, but with easily understood words and phrases, to avoid confusion and overwhelming the reader."
study2,simple,6092,"For a proof to be simple a few things it should have but is: it should have an easy to follow structure, the right amount of information for a reader of that level (not so much that it is rambling yet not to little that it is hard to follow) and contain notation which is explicitly defined."
study2,simple,5552," Base case, let's prove that P(1)

left: sum(2*k-1,k,1,1)=2*1-1=1

right: n^2=1^2=1

so, it's true for P(1)

2. Induction step: Assume that P(n) is true and consider,

sum(2*k-1,k,1,n+1)=sum(2*k-1,k,1,n)+(2*(n+1)-1)

                              =n^2+(2*n+1)

                              =(n+1)^2

where we used the statement P(n) to replace sum(2*k-1,k,1,n) with (n+1)^2

Hence sum(2*k-1,k,1,n+1)=(n+1)^2 which proves that P(n)=>P(n+1) is true

Since P(1),P(n)=>P(n+1) it follows that P(n) is true for all n belongs to N by the principle of mathematical induction."
study2,simple,6114,"Simple proofs are short, easy to understand and do not rely on other complex theorems"
study2,simple,5358,"The goal of each main step carried out during the proof should be clear. Shorter the number of steps and the number of techniques involved, simpler the proof."
study2,simple,6368,You can clearly see the steps of logic taken. No steps are omitted. It will have only a few clear sections or just one section.
study2,simple,5992,it has to be concise. It has to be easy to read with not too many different letters and symbls
study2,simple,6278,"A simple proof would be one where the claim is proven in concise, understandable steps using relatively simple maths."
study2,simple,5705,"All the steps are clear and they are justified 
There is an initial statement the working and a conclusion...this makes it easier to follow through "
study2,simple,5403,"Use less words or formula to proof the statement, or apply some examples to make it more persuasive."
study2,simple,6207,"To me, it means that it uses the minimum necessary amount of information to show that needs to be shown. It does not explain definitions directly unrelated to the problem, and it avoids introducing new concepts that are not important to the proof itself."
study2,simple,6684,"A proof is simple when it is well-written, and a person without extensive mathematical background can read it and understand it"
study2,simple,3076,"It should be able to be explained quite concisely/with few words, and the main idea of the proof should be able to be understood after reading it once."
study2,simple,6792,A proof is simple if it can be read and understood in a relatively short time by the audience that it is intended for. This means that it does not require extensive study of a new field and that the actual length of the proof is not too long.
study2,simple,6153,"A simple proof is a proof that is well-written, informs the reader of every step and why it is taken, and does not use very complex notation."
study2,simple,5887,"The proof must be written in concise, clear language, it must include a clear claim (question) and conclusion. In addition, the method of proof and the notation must be specified, making it easy to follow.  "
study2,simple,6800,"if k=2*n-1(n is a positive integer)

since  k+1=2*(n+1)-1

we have (k+1)-(k)=2

then k=2*n-1 is arithmetic progression

1+3+...+(2*n-1)=n^2"
study2,simple,5305,"A simple proof can be followed line for line without any confusion as to what symbols represent, where expressions came from and how conclusions were arrived at."
study2,simple,5290,"Just a few lines to read, straight to the point"
study2,simple,5962,"I think that for me I find a proof to be simple when,
 - It draws upon past knowledge, making it easier to understand by building on top of that rather than trying to understand something from scratch
 - It has been written in a way where different sections are clearly separated and distinct

 - I can also find the use of lots of unclear variables confusing, so making the use of variables clear would make proofs simpler

 - Lastly I also find using sentences in a proof to add a little extra explanation can also simplify things"
study2,simple,5779,"For a proof to be simple, it must not be a lengthy proof - one that can be shown in just a few lines of working or less, using basic arithmetic or known theorems. "
study2,simple,6282,A simple proof should be short. A simple proof should not need to refer to a large number of previously proven statements. A simple proof should be clearly comprehensible to the intended audience and should communicate accurately but briefly the logic of the proof so that the audience gains sufficient understanding. 
study2,simple,6024,"1. It is straightforward as possible

2. Get use of the theorems and definitions

3. make the necessary calculation as easy as possible

4. It is clear with no extra steps"
study2,simple,6163,A proof is simple if it contains the minimum amount of information needed to prove the claim. 
study2,simple,5181,the structure and readability of the proof is clear and to the point. The explanations are also simple 
study2,simple,6813,"1. The series of odd numbers is about arithmetic progression, which means all the differences between each two contiguous numbers are the same.

2. Therefore, we can add those numbers like this: 1+2n-1; 3+2n-3....

3. Thus all sums of them are 2n, and there are n odd integers, which means the sum is 2n*(1/2)*n=n^2"
study2,understanding,5891,A proof helps me understand why a theorem is true means it has given me a direct line of thought to mathematics that I was already comfortable with and as such can trace the understanding back to form the theorem again.
study2,understanding,5380,"A proof shows how a theorem follows logically from known true facts/axioms using steps which are themselves valid and obey the axioms, so the emergent theorem is shown to arise from these axioms which shows that the theorem itself is true, as we take the axioms from which it arises to be true."
study2,understanding,5324,"it is normally using algebra which shows how to theorem works, like a worked example and it shows the techniques that you would not as associate with that theorem which widens your view on the topic and how it works"
study2,understanding,5615,it means that you understand why something can be used in applications and why it works
study2,understanding,6221,A proof often shows examples of when a theorem is true using diagrams or specific cases which make the theorem easier to imagine as true. It also gives logical reasoning to why its true in general.
study2,understanding,6022,"A proof can explain how a theorem comes. And helps me understand the theorem logically.

 "
study2,understanding,6194,"Proof is the basis of a theorem, it provides the mathematical evidence of the validity of a certain theorem, understanding proof makes it easier to understand and remember the theorem."
study2,understanding,5635,the proof explains the origins of the theorem and if the theorem is difficult to understand it can give a clue as to where it came from
study2,understanding,6026,"A proof can provide me a valid and logical reason of why a theorem is true instead of just knowing the surface of the theorem. Also, this can help me to understand the theorem more efficiently."
study2,understanding,6272,The premises and intermediate steps are justified with less complicated mathematics (or more basic concepts) than what is being proven. 
study2,understanding,6478,"A proof needs to have its logical progression and any outside theorems, lemmas or corollaries clearly identified so it is easy to understand the logical steps that are involved in the proof."
study2,understanding,6378,A proof should thoroughly demonstrate the construction and derivation of the results of a certain theorem. Additionally it should be written in a clear and understandable language.
study2,understanding,5432,"A proof for me breaks down a theorem into its smallest components to explain why (from the basics), a certain statement is true. It uses more basic knowledge and statements to help a reader understand a more complex issue rather than taking a statement for granted."
study2,understanding,3311,"I'm a bit slow, so the more in depth a theorem is, the more I'm able to latch onto what it's saying. If it painstakingly takes me through every step, that's the only way I'll be sure I've understood it properly."
study2,understanding,5799,It takes you through the reasoning step-by-step using ideas we already have learnt to help us learn a new one.
study2,understanding,6049,"When proving a theorem is true, I can better understand the meaning of the theorem. Additionally, this process also can exercise the ability of logical thinking. I can learn many other knowledge during proving.

  "
study2,understanding,5532,"a clear, logical progression of irrefutable statements which lead to the conclusion that a theorem must be true, by one or various methods"
study2,understanding,5264,That it clearly shows how the theorem in question has been deduced using previous knowledge to do so. Proofs that are easiest to understand are those that clearly explain what each step is either building towards or achieves in progression to proving the theorem. 
study2,understanding,5653,"It should at least be coherent and logically consistent; then, it will be good if there is some explanation (including sentences, graphs, etc) that demonstrates some hard or important concepts; however, the overly trivial details which might distract the readers from the main thread should be omitted (it depends on the expected level of the readers)."
study2,understanding,6797,The proof provides the steps of coherent logical reasoning as our core beliefs as to why a theorem is considered true.
study2,understanding,5607,"If the proof goes through all the steps line by line, clearly showing how it got from one line to the next. It is also helpful if the proof states any theorems used in the proof."
study2,understanding,5768,The proof has to be easy to follow and must be rigorous enough to prove the theorem for all cases
study2,understanding,5226,The process of proof can examine the generality of a theorem or identity.
